year,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,yield_bu_acre,scenario_SSP1-2.6,scenario_SSP3-7.0,scenario_SSP5-8.5
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,191.2,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,210.0,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,212.0,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,196.9,1.0,0.0,0.0
2021,0.4307105026057195,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7593918442942592,203.9,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,183.9,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,190.8,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,193.1,1.0,0.0,0.0
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,187.9,1.0,0.0,0.0
2016,-0.21869809750273098,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.0392572783523943,201.1,1.0,0.0,0.0
2015,-0.3798055051056496,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.3895499798719205,202.7,1.0,0.0,0.0
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,172.1,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,160.5,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,148.2,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,180.2,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,178.3,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,190.7,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,179.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,163.0,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,143.3,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,185.3,1.0,0.0,0.0
2004,-1.6897219122199565,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.7716983430562345,192.5,1.0,0.0,0.0
2003,0.19199994812128618,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.1831305884466894,160.0,1.0,0.0,0.0
2002,-0.360130053339345,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7859767560903965,159.2,1.0,0.0,0.0
2001,-0.49098017688032713,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0206689711837522,144.4,1.0,0.0,0.0
2000,-1.8364736963144976,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4604965245621773,135.7,1.0,0.0,0.0
1999,-0.5275768215036264,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4211680452913349,165.1,1.0,0.0,0.0
1998,-0.7758709796403566,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.21647570121902007,154.6,1.0,0.0,0.0
1997,-0.26934602763341053,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6006841221424086,146.4,1.0,0.0,0.0
1996,-2.0369867882902097,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.22634352997109156,145.3,1.0,0.0,0.0
1995,-0.5052688460284503,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.5543529493157678,140.0,1.0,0.0,0.0
1994,-0.632466913557097,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8421064577904149,159.0,1.0,0.0,0.0
1993,-0.9028407936682341,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.5136326012759075,80.3,1.0,0.0,0.0
1992,-1.2184240838317228,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.40212598315853276,153.7,1.0,0.0,0.0
1991,-1.722605633230772,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.6457393781672616,120.5,1.0,0.0,0.0
1990,0.07848187373873992,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7121939891218643,130.4,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,225.4,1.0,0.0,0.0
2024,0.4456474116960573,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.0481732060000948,207.1,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,211.7,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,198.7,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,185.7,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,208.9,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,213.3,1.0,0.0,0.0
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,203.7,1.0,0.0,0.0
