variable,S1,S1_ci95_low,S1_ci95_high,S1_conf_half_width,ST,ST_ci95_low,ST_ci95_high,ST_conf_half_width,base_N,total_model_evaluations,bootstrap_repetitions,seed
temp_anomaly_c,0.01609259843826294,0.005732527375221253,0.02649440467357634,0.010380938649177544,0.016399014741182327,0.01613585795275867,0.016674523567780854,0.0002693328075110916,32768,163840,500,42
precip_anomaly_pct,0.004428863525390625,-0.006059002876281738,0.015453462302684783,0.01075623258948326,0.006783364340662956,0.006642526958603412,0.006924916768912226,0.00014119490515440702,32768,163840,500,42
co2_ppm,0.9770789742469788,0.976696440577507,0.9774341434240341,0.0003688514232635387,0.9792170524597168,0.9684207320213318,0.9894797161221505,0.010529492050409317,32768,163840,500,42
