scenario,yield_kg_ha,delta_pct,water_use_mm,irrigation_mm,CWSI_max,critical_days,days_to_maturity,economic_return_usd_ha,raw_checkpoint_bu_acre
baseline,13331,0.0,585,220,0.83,54,105,2603,217.9594268798828
early_planting_minus_14d,13331,0.0,591,260,0.95,67,105,2543,217.9594268798828
short_cycle,11731,-12.002100367564328,513,200,0.82,34,85,2281,217.9594268798828
irrigation_75,14303,7.29127597329533,585,240,0.85,51,105,2787,217.9594268798828
combined,12587,-5.580976670917415,512,240,0.95,47,85,2409,217.9594268798828
