comparison,delta_rmse_kg_ha,delta_rmse_ci95_low,delta_rmse_ci95_high,delta_mae_kg_ha,delta_mae_ci95_low,delta_mae_ci95_high,n_independent_years,n_bootstrap,seed
CeresPINN - LinearRegression,70.27148279244169,-173.44496932761714,324.82835140129254,45.85561371695621,-209.99547178310672,303.66605229310625,8,20000,42
CeresPINN - Ridge_alpha1,69.95451750276688,-200.38203556117233,338.62784492370935,54.47199413306781,-210.38508447811358,317.81788509751425,8,20000,42
CeresPINN - RandomForest,-441.69705095626006,-1154.9743592622738,237.37574001566747,-289.0488098193156,-883.8720048906956,199.3000955359377,8,20000,42
CeresPINN - MLP_no_monotonicity,-493.60869221546875,-938.5933813593141,-102.5874486388236,-467.6414685136585,-824.7882495946884,-164.10947407722475,8,20000,42
