model,n_independent_years,seed,rmse_bu_acre,mae_bu_acre,r2,rmse_kg_ha,mae_kg_ha
CeresPINN,8,42,11.345012492861006,9.625403404235836,0.8250856336549688,712.1264341768854,604.1865716838835
LinearRegression,8,42,10.230780769197365,8.877377849545486,0.8577562866970928,642.1861088825186,557.2330076159701
Ridge_alpha1,8,42,10.273277442107316,8.759471060646309,0.8565721269869803,644.8536250410763,549.8319984767688
RandomForest,8,42,19.27743065087461,14.182586494708854,0.49497390016454035,1210.0443219553993,890.2409542728748
MLP_no_monotonicity,8,42,19.46013282953274,17.045424079895017,0.48535575004297105,1221.5125377097702,1069.9412694950104
