model,seed,train_seconds,rmse_bu_acre,mae_bu_acre,r2,rmse_kg_ha,mae_kg_ha
CeresPINN_retrained,0,6.686830600025132,12.579658575471443,11.236817932128904,0.7849431737272502,789.6251687823425,705.3350615997314
MLP_no_monotonicity,0,7.014927199925296,16.513856020115487,14.332227706909176,0.6293939440047449,1036.5747423826492,899.633933162689
CeresPINN_retrained,1,6.421533299959265,12.91649787359993,11.049614524841306,0.7732720413943929,810.7685715258676,693.5843037242888
MLP_no_monotonicity,1,6.228430699906312,14.665856093561766,12.46610412597656,0.7076989585906996,920.575786992872,782.4973559875488
CeresPINN_retrained,2,6.005410899990238,14.431601083713991,12.624229049682615,0.7169621246471984,905.8716000247273,792.4228574485778
MLP_no_monotonicity,2,6.167260100017302,16.373260988227933,14.468734359741209,0.6356775841005636,1027.7495922310675,908.2024557609557
CeresPINN_retrained,3,5.9503934000385925,11.938691116351432,10.846331214904783,0.8063002963265128,749.3916413733795,680.8242103595733
MLP_no_monotonicity,3,5.9002245999872684,15.063726277488042,13.462373733520504,0.6916241530709091,945.5500984379245,845.0331992530821
CeresPINN_retrained,4,5.8407588000409305,12.668742460458725,11.717968559265135,0.7818865037417336,795.2169642429942,735.5368864650725
MLP_no_monotonicity,4,6.061905500013381,15.844024896647014,13.745076751708982,0.6588490723611259,994.5294427625331,862.7784677047729
CeresPINN_retrained,5,6.092668299912475,12.407030724340308,11.045170402526853,0.7908050291832021,778.7893185668412,693.3053461666107
MLP_no_monotonicity,5,6.21216120000463,16.882356284379036,14.516086196899412,0.6126695441968315,1059.7055039704721,911.1747305793762
CeresPINN_retrained,6,5.874559100018814,13.180319197119339,11.534748649597166,0.7639155513404272,827.3286360031809,724.0361727352141
MLP_no_monotonicity,6,5.851029700017534,14.131636616956683,11.648370361328123,0.728605871913658,887.0428304463711,731.1682075805663
CeresPINN_retrained,7,5.983921200037003,12.62534152494346,11.264214515686032,0.7833783826406406,792.492687520701,707.0547451496122
MLP_no_monotonicity,7,5.793398400070146,17.566551316710495,14.644680023193356,0.5806385148386246,1102.6524261499178,919.246565055847
CeresPINN_retrained,8,6.095017099985853,14.44689975266019,12.993531799316404,0.7163617203179238,906.8318974744802,815.6039910430907
MLP_no_monotonicity,8,5.901510700001381,18.23940815327972,15.928743934631346,0.5478973965130964,1144.887649781368,999.8472567768096
CeresPINN_retrained,42,6.013986399979331,12.412372838050294,10.759207344055174,0.7906248436194451,779.124643044417,675.3554449863433
MLP_no_monotonicity,42,5.894244399969466,19.46013282953274,17.045424079895017,0.48535575004297105,1221.5125377097702,1069.9412694950104
