model,n_independent_years,rmse_bu_acre,mae_bu_acre,r2,rmse_kg_ha,mae_kg_ha
CeresPINN,8,11.345012492861006,9.625403404235836,0.8250856336549688,712.1264341768854,604.1865716838835
Linear regression,8,10.230780769197365,8.877377849545486,0.8577562866970928,642.1861088825186,557.2330076159701
Ridge (alpha=1),8,10.273277442107316,8.759471060646309,0.8565721269869803,644.8536250410763,549.8319984767688
Random Forest,8,19.277430650874592,14.18258649470884,0.49497390016454124,1210.0443219553981,890.2409542728739
"MLP (same architecture, no monotonicity regularization)",8,19.46013282953274,17.045424079895017,0.48535575004297105,1221.5125377097702,1069.9412694950104
